State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Andhra Pradesh,Tirupati,3 Star,Without Alcohol,BHIMAS RESIDENCY HOTEL (A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED),"19-3-41, NEAR RAILWAY OVER BRIDGE, RENIGUNTA ROAD, TIRUPATI Tirupati Tirupati Tirupati",48
Andhra Pradesh,Tirupati,3 Star,Without Alcohol,FORTUNE KENCES HOTEL,"OPP: APS RTC BUS TERMINAL, TIRUPATI",126
Andhra Pradesh,Tirupati,3 Star,Without Alcohol,Hotel Bliss,"Door No.19-3-45, Ramanuja Circle Renigunta Road Tirupati Tirupati",92
Andhra Pradesh,Tirupati,3 Star,Without Alcohol,Minerva Grand Tirupati,"19-3-39, Renigunta Road, Nr Rly Flyover Bridge, Tirupati",69
Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,HOTEL AJANTHA EVERGREEN,"D. NO. 29-13-15, KALESHWAR RAO STREET, NAKKAL ROAD",36
Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,Hotel Manorama(A Unit of Welcome-Poorna Enterprises Private Limited),"27-37-157,M.G.Road,Governor Pet,",70
Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,HOTEL MIDCITY,"A Unit of Sri Venkateswara Theatre, 38-8-45, M.G.Road, Punnammathota, Opp:All India Radio Station, ",44
Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,THE KAY HOTEL,"48-12-4|1,GUNADALA,VIJAYAWADA ",40
Andhra Pradesh,Visakhapatnam,3 Star,Without Alcohol,BEST WESTERN RAMACHANDRA,"8-8-36,Main Road, Old Gajuwaka",64
Andhra Pradesh,Visakhapatnam,3 Star,Without Alcohol,FAIRFIELD BY MARRIOTT,"K.S.R DEVELOPERS PVT LTD, SURVEY NO 106.1B2 PART, WARD NO 39,MADHAVDHARA,NEAR-R&B JUNCTION,NH-5ROAD, VISAKHAPATNAM-530018",121
Arunachal Pradesh,Itanagar,3 Star,Without Alcohol,Cygnett Inn Trendz,"Chandra Nagar, Nrae DC Capital Complex Itanagar",32
Arunachal Pradesh,Itanagar,3 Star,Without Alcohol,Waii International Hotel,"Mesueme Colony, Near State Meuseum, Itanagar Papum Pare District ",50
Arunachal Pradesh,West Kameng,3 Star,Without Alcohol,NORPHEL RETREAT DIRANG,"Rungkhung,Dirang, West Kameng District-790101 West Kameng",45
Assam,Dibrugarh,3 Star,Without Alcohol,Hotel Rainbow ,"T.R Phukan Road, West chowkidinghee, Dibrugarh Dibrugarh",25
Assam,Dibrugarh,3 Star,Without Alcohol,PUSHKARA GARDEN,"Natun Gaon, Dibrugarh",60
Assam,Guwahati,3 Star,Without Alcohol,DICHANG RESORT,"Sonapur, Pathorkuchi, N H 37",57
Assam,Guwahati,3 Star,Without Alcohol,HOTEL CITYWALK INTERNATIONAL,"B BAROOAH ROAD, ULUBARI, GUWAHATI",41
Assam,Guwahati,3 Star,Without Alcohol,Hotel Paramount Palacio,"Opp Farm Gate, Above Poddar Car World; G.S. Road, Khanapara, Guwahati Guwahati",25
Assam,Guwahati,3 Star,Without Alcohol,Mayflower Hotel (A Unit of Mayflower Hotels and Resorts LLP),"MLN ROAD,PANBAZAR Guwahati",36
Assam,Guwahati,3 Star,Without Alcohol,The Lily Hotel,"G.S. ROAD, SIX MILE , KHANAPARA, GUWAHATI",78
Assam,Jorhat,3 Star,Without Alcohol,Gulmohar Grand (an Unit of Borthakur Developers),"Choladhara Road, Jorhat-785001, Assam",26
Assam,Kokrajhar,3 Star,Without Alcohol,HOTEL GAURANG VALLEY,"J.D. ROAD, TENGAPARA, WARD NO. 5, KOKRAJHAR",62
Assam,Mangaldoi,3 Star,Without Alcohol,Repose Highway Resort (A unit of Repose Highway Resort Private Limited),"Vill-Boinaojha, Aulachowka, P.O. & P.S. Magnaldoi, Discrict - Darrang Mangaldoi",20
Assam,Nagaon,3 Star,Without Alcohol,HOTEL BLUE BIRD,"MADHAB DEV ROAD, NORTH HAIBARGAON",22
Bihar,Bodhgaya,3 Star,Without Alcohol,Oaks Bodhgaya (A unit of Bodhi Hotel and Resorts Pvt. Ltd.),"Khata No. 141, Plot No. 80 and Khata No. 778, Plot No. 97, P.S. - Bodhgaya, Thana No. 359, District - Gaya, Bihar Bodhgaya",78
Chhattisgarh,Bilaspur,3 Star,Without Alcohol,COURTYARD BY MARRIOTT BILASPUR ,"COURTYARD BY MARRIOTT BILASPUR City Mall 36, Mangla Chowk, Bilaspur â€“ 495001",100
